time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.001,-0.79905,2.20800,10.22400,0.39105,0.22742,0.51631,31.2551500,75.7057467,1.071,166.62
0.116,-0.43905,1.86495,8.22495,0.02998,-0.12100,0.56210,31.2551500,75.7057467,1.071,166.62
0.233,-0.19500,2.61495,7.97100,-0.02970,0.21890,0.43739,31.2551400,75.7057500,1.059,182.13
0.351,-0.00795,3.37605,8.65305,-0.13833,0.23485,0.15194,31.2551400,75.7057500,1.059,182.13
0.454,0.18705,2.83500,10.95405,-0.22467,-0.05390,0.07521,31.2551400,75.7057500,1.059,182.13
0.557,0.81705,1.63995,11.62395,-0.11495,0.25190,-0.40301,31.2551400,75.7057500,1.059,182.13
0.659,0.88800,1.80495,10.05600,0.17476,-0.38514,-0.49472,31.2551400,75.7057500,1.059,182.13
0.761,-0.33900,2.75295,7.22400,0.19607,0.37758,-0.28586,31.2551400,75.7057500,1.059,182.13
0.862,-0.07800,3.31800,7.52595,0.12045,0.09955,-0.21766,31.2551400,75.7057500,1.059,182.13
0.963,-0.19500,3.53595,9.72795,-0.03286,-0.03781,-0.07810,31.2551400,75.7057500,1.059,182.13
1.066,0.26805,3.81900,10.67205,0.26001,-0.46819,-0.09625,31.2551400,75.7057500,1.059,182.13
1.168,-1.65300,2.53095,10.48995,-0.41965,0.15606,0.36919,31.2551300,75.7057467,1.040,189.98
1.270,-1.27695,1.43400,11.30100,-0.02118,-0.55454,0.57695,31.2551300,75.7057467,1.040,189.98
1.373,0.17205,2.75100,7.43895,0.50930,0.09309,0.88797,31.2551300,75.7057467,1.040,189.98
1.475,0.57705,3.18705,7.22895,-0.11179,0.02076,0.37139,31.2551300,75.7057467,1.040,189.98
1.580,0.71595,2.75295,10.08300,-0.15757,0.03878,0.10189,31.2551300,75.7057467,1.040,189.98
1.682,1.29300,2.20995,13.65195,-1.10880,-0.23073,-0.10051,31.2551300,75.7057467,1.040,189.98
1.784,2.25495,2.37795,11.24595,0.18012,-0.33825,0.17861,31.2551300,75.7057467,1.040,189.98
1.886,0.57705,2.55495,7.11405,0.23444,0.36053,-0.24324,31.2551300,75.7057467,1.040,189.98
2.005,0.20805,2.61900,7.26195,-0.15441,-0.31694,-0.38170,31.2551300,75.7057467,1.040,189.98
2.109,0.20595,2.92800,9.56805,-0.23953,0.05802,-0.06957,31.2551300,75.7057467,1.040,189.98
2.213,0.65595,3.72795,10.30005,0.26111,0.02819,0.44069,31.2551217,75.7057400,1.077,186.32
2.317,-0.56400,1.75695,12.42900,0.22385,0.39669,0.46832,31.2551217,75.7057400,1.077,186.32
2.421,1.05405,1.83405,9.72300,0.06504,-0.08800,0.19236,31.2551217,75.7057400,1.077,186.32
2.528,0.88605,2.07795,6.67095,0.18975,0.00151,0.35640,31.2551217,75.7057400,1.077,186.32
2.636,1.87995,1.93695,8.80395,-0.35461,-0.84851,-0.26345,31.2551217,75.7057400,1.077,186.32
2.743,1.93200,2.36805,9.24195,-0.18631,0.28174,-0.33069,31.2551217,75.7057400,1.077,186.32
