time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.012,0.12450,3.51948,10.14184,-0.70616,-0.50824,-0.26389,,,,
0.119,1.37427,4.04141,7.40287,0.34453,-0.14661,-0.33964,,,,
0.228,0.14844,3.76368,8.14507,-0.21747,-0.24679,-0.45326,,,,
0.329,-0.93853,4.38618,7.32626,-0.04765,-0.22358,-0.35552,,,,
0.431,-0.90980,5.20499,9.40921,-0.21747,-0.23946,-0.14050,,,,
0.534,-1.40779,5.16190,10.97502,0.17471,-0.35919,0.62919,,,,
0.638,-0.44532,4.00311,9.76834,-0.04887,-1.09834,0.16249,,,,
0.741,1.00078,3.83072,8.59518,0.44227,-0.18815,0.59620,,,,
0.843,-0.36871,1.11091,8.20253,-0.27489,0.78802,0.40684,,,,
0.945,2.21703,3.66792,7.18261,0.41905,-0.31398,0.19792,,,,
1.048,3.03106,3.47159,9.36133,-0.31887,0.06964,0.23579,,,,
1.149,2.92571,3.47638,10.98939,-0.04887,-0.45571,0.08552,,,,
1.251,5.00867,2.36547,14.20240,-0.69516,-0.56322,-0.64141,,,,
1.356,3.69186,3.47159,5.91847,0.30910,-0.86865,-0.71960,,,,
1.459,2.47082,3.15077,7.76679,-0.21625,-0.17471,-0.71593,,,,
1.561,1.34075,4.60644,7.37414,0.07575,-0.16982,-0.40684,,,,
1.663,1.50356,5.11401,10.69729,0.13683,0.13683,-0.09163,,,,
1.768,1.58017,4.96079,10.91756,-0.56566,-0.29566,-0.08796,,,,
1.870,0.11492,3.95522,6.41167,0.83566,0.60842,0.46792,,,,
1.973,1.18274,3.52905,9.02135,0.08919,-0.16005,0.00000,,,,
2.076,0.84755,4.21858,6.80911,0.40806,0.11118,0.10385,,,,
2.181,1.46046,4.50589,8.44674,0.08552,-0.06109,0.03665,,,,
2.282,1.42694,4.83150,9.39964,0.22724,0.16982,0.12950,,,,
2.383,3.93128,3.10289,13.32613,-0.28222,0.11240,-0.11118,,,,
2.487,2.99754,4.00311,6.42604,-0.14783,0.08796,-0.08308,,,,
2.591,1.71904,4.36224,6.88094,-0.13806,0.15394,-0.31398,,,,
2.693,1.48441,4.75488,7.84340,-0.08430,-0.10507,0.08796,,,,
2.796,1.25456,4.39097,9.58638,-0.06109,0.15882,0.00977,,,,
2.899,1.75734,4.96557,9.74919,-0.86621,-0.22235,-0.05131,,,,
3.001,-0.30167,3.27048,7.50822,0.40806,0.15272,0.38607,,,,
3.104,0.90022,3.73495,9.26077,-0.64019,-0.36285,0.15882,,,,
3.207,0.89064,3.05979,9.37569,0.12584,0.28344,0.09407,,,,
3.310,1.18752,3.98874,7.25443,-0.04520,-0.21625,0.08796,,,,
3.413,2.71024,4.02226,11.31021,-0.42028,-0.49602,-0.38485,,,,
3.516,1.96325,3.98874,7.73327,0.27733,-0.29932,-0.18937,,,,
3.618,2.95923,1.71425,9.39485,0.40195,0.37018,-0.41050,,,,
3.720,3.62482,3.47638,5.40611,-0.03910,-0.84544,-0.89431,,,,
3.822,2.25534,3.27048,8.49942,-0.81489,-0.15272,-0.74403,,,,
3.925,2.31759,4.59687,9.07881,0.01100,-0.42883,-0.23335,,,,
4.028,2.16915,4.67827,11.00854,0.04765,0.35186,-0.64385,,,,
4.130,1.58975,6.01423,8.55209,1.29381,0.24312,-0.46670,,,,
4.233,1.24020,2.94966,10.47224,0.54367,0.23824,0.18815,,,,
4.334,1.52271,4.28083,6.12437,0.01710,-0.41050,0.35308,,,,
4.436,1.69509,4.00311,8.16423,-0.40317,0.09896,-0.15149,,,,
4.538,2.34632,5.33428,7.33583,0.27367,-0.24679,-0.77946,,,,
4.642,2.14042,5.84664,9.40442,0.30788,-1.20340,-1.17775,31.2556760,75.7053354,0.280,52.30
4.744,2.48518,5.43484,7.66623,-0.05742,-0.67928,-0.41172,31.2556760,75.7053354,0.280,52.30
4.846,5.09486,4.11803,8.51857,-0.35430,-0.57177,-0.44227,31.2556760,75.7053354,0.280,52.30
4.949,3.76847,4.60644,4.52025,0.30665,-0.57788,-0.97372,31.2556760,75.7053354,0.280,52.30
5.052,2.42293,4.55377,7.03416,-1.39522,0.12339,-0.70250,31.2556760,75.7053354,0.280,52.30
5.155,2.22182,5.97114,6.89051,-0.15027,-0.34086,-0.68050,31.2556760,75.7053354,0.280,52.30
5.258,2.23140,6.12437,10.06044,-0.53390,-0.37018,-0.90897,31.2556760,75.7053354,0.280,52.30
5.360,0.10056,5.99987,9.57202,0.29199,-0.17959,-0.43494,31.2556760,75.7053354,0.280,52.30
5.463,0.53630,3.39498,9.93594,0.38729,-0.19914,0.16127,31.2556760,75.7053354,0.280,52.30
5.566,0.29209,4.87459,6.87615,-0.67073,-0.22358,0.28100,31.2556760,75.7053354,0.280,52.30
5.668,1.04866,4.09408,6.97670,0.05376,0.65851,0.27611,31.2556530,75.7052870,0.420,68.80
5.771,1.06781,4.25689,7.81946,-0.12095,-0.09529,0.29199,31.2556530,75.7052870,0.420,68.80
5.873,1.74777,4.73094,8.77714,-0.59376,0.32254,0.45448,31.2556530,75.7052870,0.420,68.80
5.977,2.41336,3.97437,8.94953,-0.08552,0.14050,0.53267,31.2556530,75.7052870,0.420,68.80
6.078,1.37427,3.92649,6.29675,-1.01526,1.56504,-0.72815,31.2556530,75.7052870,0.420,68.80
6.182,-0.16281,-0.35434,8.47069,1.60169,-2.06472,1.12888,31.2556530,75.7052870,0.420,68.80
6.284,5.24330,4.63039,4.40054,-0.89919,-0.66829,-0.37141,31.2556530,75.7052870,0.420,68.80
6.387,1.31202,2.19309,10.57279,0.70738,-0.20769,-0.72815,31.2556530,75.7052870,0.420,68.80
6.489,1.35033,5.19542,10.06522,0.41539,0.67440,-0.18326,31.2556530,75.7052870,0.420,68.80
6.591,0.39265,5.33428,11.01812,-0.10629,-0.24923,-0.36408,31.2556530,75.7052870,0.420,68.80
6.693,-0.53630,4.05099,8.97347,0.14905,0.20281,0.05864,,,,
6.795,-0.84755,3.30400,5.25288,-0.06842,0.50824,0.87842,,,,
6.897,0.66080,3.35667,7.79073,-0.77091,0.81978,1.29992,,,,
6.999,1.39343,2.99275,10.07959,-0.60720,0.67073,0.84177,,,,
7.100,0.92895,3.59130,9.97424,0.02566,0.48381,0.47159,,,,
7.204,0.15802,3.24175,10.13705,-0.02566,-0.12095,0.47647,,,,
7.307,1.43652,3.55300,9.56723,-0.18082,-0.07697,0.16738,,,,
7.409,1.74777,1.21147,8.77714,-0.00244,-0.43005,0.00489,,,,
7.511,0.71347,1.41258,9.97903,0.18204,0.25045,0.22235,,,,
7.613,0.58897,1.78607,9.03572,-0.37996,-0.16005,-0.59498,,,,
7.715,0.64643,2.65278,9.34218,-0.08430,0.28588,0.39706,,,,
7.817,0.52194,1.97761,11.79863,0.71960,0.87232,0.55467,,,,
7.922,0.95289,3.28484,9.05487,-0.01100,-0.12584,0.24312,,,,
8.023,0.01437,2.26970,8.57124,0.03421,-0.30421,0.05131,,,,
8.126,-0.36392,3.29921,8.48026,-0.06475,0.32742,0.14172,,,,
8.228,-0.02394,2.81079,9.41400,-0.28955,0.10996,-0.05620,,,,
8.330,-0.26336,3.73017,8.55209,0.06597,0.14783,-0.11240,,,,
8.432,0.00000,2.97360,9.73482,-0.11362,-0.06842,0.09529,,,,
8.534,0.29209,3.22738,9.60075,0.26023,-0.31521,-0.19426,,,,
8.637,-0.20111,2.46603,9.45710,0.01710,-0.07330,0.22358,,,,
8.739,0.46448,2.32716,8.92080,-0.13073,0.12095,-0.33720,,,,
8.842,-0.27773,2.50912,9.01656,-0.25779,0.30055,0.21014,,,,
