time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.067,-0.88585,2.96881,8.12592,-0.50946,0.14416,0.45326,31.2559029,75.7040275,0.620,66.00
0.175,-1.12049,4.50110,8.34619,-0.27000,-0.21625,0.22602,31.2559029,75.7040275,0.620,66.00
0.278,-1.97761,4.42927,11.18092,-0.25779,-0.27978,0.41661,31.2559029,75.7040275,0.620,66.00
0.380,2.94008,3.25611,10.78348,-0.45326,-0.57666,-0.07208,31.2559029,75.7040275,0.620,66.00
0.486,1.52271,2.46124,11.12346,1.19485,-1.11911,-0.53634,31.2559097,75.7040410,0.710,83.70
0.588,0.50278,3.07416,8.06846,0.68417,-0.65118,-0.24557,31.2559097,75.7040410,0.710,83.70
0.690,1.53229,3.61046,5.26724,0.26023,-0.81489,-0.02810,31.2559097,75.7040410,0.710,83.70
0.794,2.60968,4.48673,6.67025,-0.16371,-0.02932,-0.21991,31.2559097,75.7040410,0.710,83.70
0.898,-0.14365,3.62482,9.62948,-0.63774,-0.00244,0.39584,31.2559097,75.7040410,0.710,83.70
1.001,-2.05901,0.78530,11.02769,-0.65973,1.15576,0.46426,31.2559097,75.7040410,0.710,83.70
1.103,-1.93930,1.76692,8.68616,0.07086,0.12706,0.22480,31.2559097,75.7040410,0.710,83.70
1.209,0.48842,2.50912,6.31112,-0.05620,0.34086,0.20281,31.2559097,75.7040410,0.710,83.70
1.312,0.51236,2.96881,9.93594,-0.18082,1.67744,0.06109,31.2559097,75.7040410,0.710,83.70
1.416,-5.89452,5.42047,10.51055,1.13743,-0.40561,-0.66706,31.2559097,75.7040410,0.710,83.70
1.518,1.67594,2.12605,12.92869,-0.89309,-1.29626,-1.14232,31.2559132,75.7040499,1.170,89.20
1.620,2.75333,1.79086,8.88249,-0.51679,0.52657,-1.05435,31.2559132,75.7040499,1.170,89.20
1.723,-1.09176,0.46926,9.24162,-0.94318,1.18019,-0.65851,31.2559132,75.7040499,1.170,89.20
1.827,-1.17795,2.02071,8.19296,0.58643,-0.41905,-1.18019,31.2559132,75.7040499,1.170,89.20
1.931,-2.26970,2.81558,10.61110,0.61820,-1.26816,-1.11055,31.2559132,75.7040499,1.170,89.20
2.035,-2.95923,2.08774,13.52245,0.83444,0.65607,0.51557,31.2559132,75.7040499,1.170,89.20
2.138,-3.16035,2.19788,5.84664,2.11848,0.66340,0.61942,31.2559132,75.7040499,1.170,89.20
2.242,-3.10289,3.59609,5.71735,1.20585,-3.63098,1.31947,31.2559132,75.7040499,1.170,89.20
2.345,0.77093,3.69665,9.00699,0.62675,0.95906,0.87598,31.2559132,75.7040499,1.170,89.20
2.449,1.48441,5.11880,8.27436,-0.01222,0.05253,0.78557,31.2559133,75.7040629,1.000,94.70
2.550,2.86347,5.59764,9.72525,-0.07697,-0.41172,0.42150,31.2559133,75.7040629,1.000,94.70
2.653,5.15232,4.91290,9.55287,-1.04702,-0.87598,-0.08674,31.2559133,75.7040629,1.000,94.70
2.755,3.12204,4.07493,7.30232,-0.27245,0.78679,-0.52168,31.2559133,75.7040629,1.000,94.70
2.860,1.86269,3.55778,7.12993,-0.19303,-0.05131,-0.86376,31.2559133,75.7040629,1.000,94.70
2.963,1.33596,5.36301,6.04296,-0.31276,-0.83322,-0.52779,31.2559133,75.7040629,1.000,94.70
3.066,0.71826,4.67348,11.01812,-0.49236,-0.43127,-0.24557,31.2559133,75.7040629,1.000,94.70
3.170,0.89064,6.03818,10.04128,-0.20892,0.22113,0.17837,31.2559133,75.7040629,1.000,94.70
3.273,-1.03908,3.49075,8.05409,0.44960,0.36774,0.41905,31.2559133,75.7040629,1.000,94.70
3.376,1.82438,2.22182,8.57124,0.79779,-1.40255,0.13073,31.2559133,75.7040629,1.000,94.70
3.480,2.34153,4.29041,6.24408,0.54000,-0.56444,0.28466,31.2559138,75.7040701,1.080,88.50
3.581,3.19387,4.90811,7.31189,0.07208,-0.10018,0.02321,31.2559138,75.7040701,1.080,88.50
3.684,5.27682,5.63595,9.95988,-0.31032,-0.77702,-0.10751,31.2559138,75.7040701,1.080,88.50
3.787,5.82749,4.37181,10.37647,-0.45693,-0.37751,-0.04520,31.2559138,75.7040701,1.080,88.50
3.893,3.60088,4.77404,4.20901,0.28466,-0.48136,-0.30299,31.2559138,75.7040701,1.080,88.50
3.997,4.09408,3.86424,6.60800,-0.74648,0.28344,-0.40684,31.2559138,75.7040701,1.080,88.50
4.101,3.04542,4.69264,5.94720,-0.43494,0.11484,-0.29322,31.2559138,75.7040701,1.080,88.50
4.207,3.30400,5.45878,9.77313,-0.32376,0.07697,0.12095,31.2559138,75.7040701,1.080,88.50
4.310,4.44364,5.65989,11.25754,-0.60476,-0.90164,-0.13683,31.2559138,75.7040701,1.080,88.50
4.414,1.16358,2.56658,7.79552,0.51435,1.97187,0.47770,31.2559138,75.7040701,1.080,88.50
4.516,1.65679,3.12683,9.06445,0.82589,-0.85399,0.44593,31.2559132,75.7040797,0.910,82.10
4.620,2.44209,3.85945,7.35499,0.48991,0.65851,0.42150,31.2559132,75.7040797,0.910,82.10
4.723,2.89698,4.54898,7.02459,0.18937,0.10507,0.13439,31.2559132,75.7040797,0.910,82.10
4.826,4.53462,4.55377,10.21366,-0.11851,-0.68173,-0.04887,31.2559132,75.7040797,0.910,82.10
4.928,5.25767,3.84030,11.02290,-1.24861,-0.49969,-0.50824,31.2559132,75.7040797,0.910,82.10
5.033,3.37582,3.96959,5.29119,0.21136,0.37018,-0.01466,31.2559132,75.7040797,0.910,82.10
5.137,3.42371,3.86903,6.33506,-0.58032,-0.71593,-0.52779,31.2559132,75.7040797,0.910,82.10
5.241,2.02549,4.52025,6.64152,-0.12950,-0.38362,-0.15272,31.2559132,75.7040797,0.910,82.10
5.345,3.81157,5.04698,8.82982,-0.46548,-0.84422,0.08919,31.2559132,75.7040797,0.910,82.10
5.449,4.05578,4.91769,8.78672,0.07697,-1.26083,0.49358,31.2559145,75.7040911,0.990,88.20
5.552,4.24731,3.15077,8.71489,0.30177,-0.32254,0.40195,31.2559145,75.7040911,0.990,88.20
5.654,3.76847,2.01592,7.18739,0.18448,0.90164,-0.14416,31.2559145,75.7040911,0.990,88.20
5.759,5.21936,3.38061,5.10444,0.42638,0.42883,0.60231,31.2559145,75.7040911,0.990,88.20
5.863,3.80199,4.00789,6.32069,0.63163,-0.61697,-0.10263,31.2559145,75.7040911,0.990,88.20
5.968,6.14352,3.85466,8.18338,-1.20340,0.27000,0.69394,31.2559145,75.7040911,0.990,88.20
6.073,7.75243,1.15879,12.60787,-0.94073,1.77395,0.43860,31.2559145,75.7040911,0.990,88.20
6.177,4.07493,2.43730,3.79720,1.55648,-1.84481,-0.73304,31.2559145,75.7040911,0.990,88.20
6.283,4.50110,3.42850,6.28717,-0.93340,-0.37263,-0.84055,31.2559145,75.7040911,0.990,88.20
6.387,4.09887,4.23774,8.17380,-0.02077,-0.34697,-0.58032,31.2559145,75.7040911,0.990,88.20
6.489,4.38618,3.89297,9.87848,0.54734,0.26267,-0.30910,31.2559185,75.7041031,1.010,83.50
6.592,3.73974,4.15155,9.06445,0.11606,0.45082,0.43249,31.2559185,75.7041031,1.010,83.50
6.695,2.75333,3.33752,8.55688,0.00000,0.20769,0.41539,31.2559185,75.7041031,1.010,83.50
6.801,3.08852,2.55701,6.57448,0.45082,0.64507,0.43371,31.2559185,75.7041031,1.010,83.50
6.904,3.26569,3.96959,6.12437,-0.04154,-0.01588,0.29444,31.2559185,75.7041031,1.010,83.50
7.008,4.37181,4.46758,9.16979,-0.14783,-0.66462,0.11118,31.2559185,75.7041031,1.010,83.50
7.112,6.27760,4.45800,8.53294,0.17959,-0.60109,0.14539,31.2559185,75.7041031,1.010,83.50
7.215,7.83862,2.44687,8.20732,-0.39951,0.29077,-0.57421,31.2559185,75.7041031,1.010,83.50
7.318,4.57771,2.94966,5.68862,0.30665,-0.98349,-0.88331,31.2559185,75.7041031,1.010,83.50
7.420,3.56736,3.80678,6.53138,-0.21014,-0.27122,-0.68661,31.2559185,75.7041031,1.010,83.50
7.522,4.37660,5.05655,6.76601,0.16860,-0.46792,-0.39951,31.2559218,75.7041151,1.000,85.60
7.625,5.45399,5.33907,8.63828,0.59010,0.67928,0.39584,31.2559218,75.7041151,1.000,85.60
7.727,5.24809,4.99909,8.82982,-0.35797,0.57299,1.07879,31.2559218,75.7041151,1.000,85.60
7.831,3.80199,4.10845,8.62870,0.83689,0.77702,0.92485,31.2559218,75.7041151,1.000,85.60
7.935,3.67271,2.77249,5.77003,1.22051,0.75014,0.50091,31.2559218,75.7041151,1.000,85.60
8.038,3.94086,5.02782,4.80277,0.12217,0.34453,0.23457,31.2559218,75.7041151,1.000,85.60
8.141,4.57771,6.32069,7.23049,0.20403,-0.26878,0.42883,31.2559218,75.7041151,1.000,85.60
8.244,6.66067,6.10521,7.58004,-0.03543,-0.91263,0.33353,31.2559218,75.7041151,1.000,85.60
8.350,7.81946,2.90177,7.09163,-0.74037,0.12706,-0.91385,31.2559218,75.7041151,1.000,85.60
8.454,4.68785,3.15077,3.06937,-0.66951,-1.95721,-0.94073,31.2559225,75.7041265,0.990,86.10
8.556,5.20021,2.39420,5.19063,-2.28952,-1.10689,-0.53634,31.2559225,75.7041265,0.990,86.10
8.658,5.38695,3.33752,7.80031,-1.22173,-0.54611,-0.36041,31.2559225,75.7041265,0.990,86.10
8.760,6.76601,4.71658,9.56244,-0.23091,0.27245,-0.06720,31.2559225,75.7041265,0.990,86.10
