time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.016,0.81882,4.05578,8.02536,0.45082,-0.29444,-0.21380,31.2519966,75.7021255,0.540,9.40
0.121,0.81882,3.84030,7.82904,-0.17715,0.01466,-0.35430,31.2519966,75.7021255,0.540,9.40
0.229,0.63207,4.76925,8.18338,-0.06475,-0.19303,-0.12217,31.2520019,75.7021335,0.410,15.90
0.331,0.33519,5.20021,8.07804,-0.04276,-0.02199,-0.05253,31.2520019,75.7021335,0.410,15.90
0.435,-1.16837,4.52504,10.22324,0.02810,0.27978,-0.04643,31.2520019,75.7021335,0.410,15.90
0.538,-0.47884,3.51469,7.13951,0.21258,0.09407,-0.28344,31.2520019,75.7021335,0.410,15.90
0.642,-1.69031,2.31759,11.45386,-0.87598,1.40988,0.25656,31.2520019,75.7021335,0.410,15.90
0.746,-1.12527,4.61602,8.28873,-0.68417,0.06597,1.18386,31.2520019,75.7021335,0.410,15.90
0.847,0.92416,3.68707,9.50977,-0.28955,-0.10263,0.88820,31.2520019,75.7021335,0.410,15.90
0.950,0.85712,3.47638,9.24641,0.30299,0.04032,0.10140,31.2520019,75.7021335,0.410,15.90
1.051,1.89621,3.81157,9.20331,0.15638,-0.92241,-0.38485,31.2520019,75.7021335,0.410,15.90
1.152,1.76213,2.40857,11.25754,-0.50457,-0.00611,-0.59498,31.2520045,75.7021423,0.400,22.50
1.254,1.60890,2.91135,8.13071,0.12584,-0.88453,-1.31947,31.2520045,75.7021423,0.400,22.50
1.356,0.24900,2.54743,10.00776,0.14172,0.31887,-1.03847,31.2520045,75.7021423,0.400,22.50
1.460,-0.68474,3.41413,9.09318,0.77702,0.57666,-1.02381,31.2520045,75.7021423,0.400,22.50
1.562,-0.21069,4.14676,8.65265,-0.90042,-1.65911,-0.37018,31.2520045,75.7021423,0.400,22.50
1.664,1.52271,3.50032,10.52012,-0.02810,-0.20769,-0.77946,31.2520045,75.7021423,0.400,22.50
