time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.073,-2.14520,5.21936,8.31267,-0.10324,0.02993,-0.06353,31.2576335,75.7077411,0.130,360.00
0.195,-1.85072,5.20739,7.63272,0.07086,-0.11240,-0.07208,31.2576335,75.7077411,0.130,360.00
0.309,-1.59214,5.26724,7.96790,0.02321,0.00122,-0.04093,31.2576335,75.7077411,0.130,360.00
0.424,-1.63524,5.37019,7.73806,0.02260,-0.14905,-0.13683,31.2576335,75.7077411,0.130,360.00
0.538,-1.31921,5.62877,7.78355,0.01955,-0.31215,-0.15088,31.2576335,75.7077411,0.130,360.00
0.648,-1.01035,5.82270,8.30070,0.05559,-0.25229,-0.19303,31.2576335,75.7077411,0.130,360.00
0.758,-1.00796,5.89692,7.60877,0.20281,-0.22113,-0.27306,31.2576335,75.7077411,0.130,360.00
0.867,-1.22823,5.38456,7.73088,0.12523,-0.28405,-0.49602,31.2576335,75.7077411,0.130,360.00
0.977,-1.68312,5.61680,7.49625,0.37446,-0.11118,-0.30482,31.2576335,75.7077411,0.130,360.00
1.088,-2.73657,5.02064,7.48188,-0.09346,0.03299,-0.40989,31.2576335,75.7077411,0.130,360.00
1.197,-3.06937,4.54898,8.75560,-0.22724,0.03421,-0.04581,31.2576335,75.7077411,0.130,360.00
1.307,-3.26090,4.37660,8.38210,-0.17287,0.07025,0.06170,31.2576335,75.7077411,0.130,360.00
1.420,-3.38301,4.43646,8.23127,0.00428,0.32132,0.16127,31.2576096,75.7077113,0.390,253.30
1.538,-3.72538,3.90255,8.33182,-0.28711,0.19975,0.29016,31.2576096,75.7077113,0.390,253.30
1.657,-3.26330,4.43406,8.46590,-0.04276,0.06903,0.79351,31.2576096,75.7077113,0.390,253.30
1.775,-3.06937,4.31435,8.66462,-0.22419,0.05742,0.64446,31.2576096,75.7077113,0.390,253.30
1.896,-2.58095,4.50349,8.81066,-0.05986,0.23335,0.72510,31.2576096,75.7077113,0.390,253.30
2.013,-1.96564,4.53222,8.26957,-0.14539,0.29383,0.49358,31.2576096,75.7077113,0.390,253.30
2.130,-1.86987,4.77404,7.49385,-0.08308,0.45509,0.60231,31.2576096,75.7077113,0.390,253.30
2.250,-2.30322,3.40216,9.67976,-0.63041,0.91019,0.93401,31.2576096,75.7077113,0.390,253.30
2.376,0.59376,4.71897,8.39647,0.39889,0.48136,2.52715,31.2576096,75.7077113,0.390,253.30
2.495,2.07817,5.43244,2.80122,0.06475,-0.43555,1.26938,31.2576152,75.7077114,0.320,221.50
2.613,2.37505,6.75404,9.64624,-0.43494,0.71166,0.58521,31.2576152,75.7077114,0.320,221.50
2.729,1.19471,5.76763,8.95910,0.12034,0.39828,0.59376,31.2576152,75.7077114,0.320,221.50
2.847,-0.73502,4.92248,7.97030,0.28772,0.82711,0.22235,31.2576152,75.7077114,0.320,221.50
2.963,-0.48123,4.39815,10.11790,0.22724,0.07819,0.82650,31.2576152,75.7077114,0.320,221.50
3.081,-0.11971,5.18584,7.14669,0.06414,0.35003,0.74403,31.2576152,75.7077114,0.320,221.50
3.200,0.07901,4.84347,8.88009,-0.48075,0.38546,0.14905,31.2576152,75.7077114,0.320,221.50
3.317,-0.05267,5.51624,8.44914,-0.16127,0.02077,0.15333,31.2576152,75.7077114,0.320,221.50
3.434,0.91698,5.71496,8.18578,0.11790,-0.16432,0.18631,31.2576167,75.7077188,0.570,176.30
3.551,0.98162,5.05416,8.41562,-0.06109,-0.43555,-0.01283,31.2576167,75.7077188,0.570,176.30
