time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.010,2.51870,4.70700,7.80989,-0.19303,0.08919,0.05253,31.2511046,75.7055401,1.980,258.10
0.118,2.47560,4.40054,8.62391,-0.04154,0.19548,0.00977,31.2511046,75.7055401,1.980,258.10
0.227,2.55222,4.74052,8.09719,-0.02688,0.05131,0.09041,31.2511046,75.7055401,1.980,258.10
0.329,2.60968,4.57771,8.49942,-0.01833,0.09285,0.03176,31.2511046,75.7055401,1.980,258.10
0.432,2.05901,4.41970,8.31267,-0.00122,0.16616,0.11851,31.2511041,75.7055287,1.450,258.10
0.535,2.36547,4.61602,8.10198,-0.14172,0.00367,-0.15882,31.2511041,75.7055287,1.450,258.10
0.638,1.78129,4.35266,8.45632,-0.22724,0.10629,0.01833,31.2511041,75.7055287,1.450,258.10
0.742,1.58496,3.97916,8.66222,-0.08919,0.09774,0.15638,31.2511041,75.7055287,1.450,258.10
0.849,1.51314,3.82593,8.63349,-0.05498,0.20525,0.17959,31.2511041,75.7055287,1.450,258.10
0.953,1.72383,3.93607,8.86812,-0.09163,0.22602,0.28588,31.2511041,75.7055287,1.450,258.10
1.058,1.60412,3.65355,8.81545,-0.32132,0.47647,0.32742,31.2511041,75.7055287,1.450,258.10
1.161,1.52271,3.23217,9.08360,-0.28344,0.35552,0.38851,31.2511041,75.7055287,1.450,258.10
1.264,1.41258,3.06937,8.93995,-0.30055,0.38851,0.34331,31.2511041,75.7055287,1.450,258.10
1.369,1.31202,2.63362,9.47146,-0.40928,0.42272,0.29688,31.2511041,75.7055287,1.450,258.10
1.473,0.79966,2.10690,9.27514,-0.40561,0.34819,0.32742,31.2511077,75.7055210,1.400,258.10
1.576,1.01035,1.89621,9.96467,-0.32254,0.35797,0.35675,31.2511077,75.7055210,1.400,258.10
1.679,0.47405,1.62806,9.87369,-0.25901,0.20525,0.16005,31.2511077,75.7055210,1.400,258.10
1.782,0.39744,1.34075,9.65342,-0.21869,0.14783,0.13195,31.2511077,75.7055210,1.400,258.10
1.887,0.03831,0.50757,9.59117,-0.04765,0.22235,0.37263,31.2511077,75.7055210,1.400,258.10
1.990,0.10534,0.66080,9.99819,0.05620,0.09896,0.57666,31.2511077,75.7055210,1.400,258.10
2.095,-0.46926,0.54109,10.01734,-1.10689,1.09711,0.71227,31.2511077,75.7055210,1.400,258.10
2.199,-1.55144,0.02394,9.96467,0.65118,-0.36408,0.52290,31.2511077,75.7055210,1.400,258.10
2.303,-1.49398,1.23062,8.05409,-0.11729,-0.28955,1.31458,31.2511077,75.7055210,1.400,258.10
2.406,-1.00078,0.93374,10.97502,0.61453,0.16982,1.09345,31.2511077,75.7055210,1.400,258.10
2.509,-2.01113,2.77249,8.67659,-0.32254,-0.10996,1.03481,31.2511128,75.7055147,1.380,304.10
2.612,-1.99676,0.29688,8.11634,-0.57177,0.49236,0.90897,31.2511128,75.7055147,1.380,304.10
2.716,-0.79966,0.67038,8.22648,0.08063,-0.36652,0.37507,31.2511128,75.7055147,1.380,304.10
2.822,-1.27372,1.12527,10.31901,0.31643,-0.30788,0.22724,31.2511128,75.7055147,1.380,304.10
2.926,-0.45490,1.21625,8.37013,0.54123,-1.03969,-0.14050,31.2511128,75.7055147,1.380,304.10
3.030,-1.21147,2.66714,9.75398,-0.20159,-0.14783,0.59987,31.2511128,75.7055147,1.380,304.10
