time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.022,0.08595,2.60295,10.77705,-0.43986,0.47877,-0.28270,,,,
0.123,0.24405,3.34695,9.02205,-0.01485,-0.24241,-0.31996,,,,
0.240,-1.26105,3.33000,8.26800,0.08319,0.01856,-0.18892,,,,
0.342,-1.16205,3.41205,7.81095,-0.08401,0.22412,0.01884,,,,
0.443,-1.33005,3.65100,9.05805,-0.28751,0.19855,0.15826,,,,
0.544,-1.17900,3.07200,10.13100,-0.12348,0.14218,0.33522,,,,
0.646,-1.16505,1.72395,10.33200,-0.06380,0.49899,0.26482,,,,
0.747,-2.56995,2.37795,9.81405,-0.12980,-0.01664,0.35750,,,,
0.848,-1.55805,2.95200,8.34405,0.01925,-0.06985,0.58657,,,,
0.949,-1.13400,3.09105,8.71605,0.07783,-0.15716,0.39050,,,,
1.050,-1.48800,3.67005,8.82300,0.09804,-0.08896,0.03162,,,,
1.151,-0.04695,3.33495,9.51495,-0.02228,-0.06022,-0.07177,,,,
1.254,1.24305,3.05295,9.91005,0.02668,-0.02929,-0.46585,,,,
1.356,1.25895,2.43000,9.79305,-0.32051,-0.40012,-0.64914,,,,
1.458,0.60795,2.96895,8.46900,0.19607,-0.14231,-0.58520,,,,
1.560,-0.15000,3.23700,9.20400,-0.01485,-0.06875,-0.11756,,,,
1.663,-0.33405,3.22305,10.20705,0.16197,-0.07095,0.21698,,,,
1.765,-0.53805,2.76795,10.59705,-0.18741,-0.09859,0.36492,,,,
1.868,-1.81800,3.53595,8.43795,0.41016,0.29769,0.76766,,,,
1.971,-0.45600,2.84400,9.74295,-0.43876,0.10381,0.61105,,,,
2.079,-0.49695,3.79005,8.09805,0.06614,-0.06339,0.39902,,,,
2.187,0.20805,3.88095,8.98800,-0.05844,-0.02406,0.10615,,,,
2.295,0.22800,3.50805,9.99405,-0.17353,-0.28614,-0.21024,,,,
2.403,1.16400,2.44200,11.35605,-0.28861,0.08456,-0.50848,,,,
2.512,0.58395,2.08095,9.58005,-0.00522,-0.05596,-0.72793,,,,
2.619,-0.14700,2.63100,8.63895,0.22481,-0.08264,-0.59166,,,,
2.726,0.19905,3.47205,8.32995,0.35695,-0.00591,-0.67471,,,,
2.833,-0.50595,3.57495,8.79495,-0.06270,0.25822,0.35750,,,,
2.941,-0.95895,3.59595,10.95900,0.11729,0.01004,0.02516,,,,
3.044,-0.01995,3.34695,9.13500,0.24723,-0.43202,0.23182,,,,
3.148,-0.48705,3.20100,9.32595,-0.03616,0.02076,0.13062,,,,
3.256,-0.50205,3.12495,8.68905,0.02241,0.09955,0.00069,,,,
3.363,-0.23595,3.59100,8.53800,0.14919,-0.05170,-0.11646,,,,
3.471,-0.24105,3.38505,9.35205,0.05129,-0.02296,-0.19635,,,,
3.578,-0.61395,2.83695,10.37895,-0.20020,0.13255,-0.60967,,,,
3.684,-0.92100,2.97405,9.27300,0.20680,0.24970,-0.25176,,,,
3.792,-1.47105,2.87295,9.12300,0.21849,-0.08800,-0.11550,,,,
3.899,-0.85395,3.93105,8.08800,0.08951,-0.07411,0.10615,,,,
4.003,-0.35595,4.02705,9.59205,0.21849,-0.06339,0.21904,,,,
4.107,-1.06695,4.02705,8.97195,0.15991,0.28174,0.35434,,,,
4.211,-1.63200,3.27300,9.16095,0.02998,0.52140,0.29783,,,,
4.316,-0.99000,3.77100,8.54295,-0.00632,0.01966,0.53226,,,,
4.422,-0.98295,3.95295,9.35205,-0.29920,0.10808,0.63882,,,,
4.530,-0.46095,3.98400,8.70600,0.08209,-0.03781,0.37771,,,,
4.636,-0.17595,4.26900,9.38400,0.17902,-0.26689,0.05390,,,,
4.741,0.11505,4.04400,9.00000,-0.26510,-0.10395,-0.12292,,,,
4.848,0.32595,3.10305,10.41495,-0.02860,0.05376,-0.01430,,,,
4.957,0.59595,3.60105,9.03900,0.10656,0.07604,-0.03878,,,,
