time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.034,-0.17238,4.33829,9.55287,0.28466,-0.28344,-0.11851,,,,
0.142,0.41180,2.34632,10.01734,0.29932,-0.22602,-0.11851,,,,
0.250,0.87149,3.43807,7.66145,-0.22724,-0.17104,-0.49358,,,,
0.351,-0.29688,3.09810,9.10275,-0.08674,-0.12828,-0.33842,,,,
0.453,-0.07661,3.95522,8.35576,-0.05131,-0.25901,-0.07575,,,,
0.554,1.67594,4.69742,8.41801,0.64630,0.09774,-0.77824,,,,
0.658,-1.07260,4.57771,8.20732,-0.53634,-0.24312,-0.60720,,,,
0.761,-0.14365,4.35745,11.63582,0.11851,-0.06842,-0.12950,,,,
0.863,-0.27294,2.72460,9.85932,-0.27367,-0.44593,-0.35186,,,,
0.966,-0.56982,1.81480,7.22570,0.55589,0.52534,-0.14172,,,,
1.070,-0.99120,2.37026,9.39485,-0.64507,-0.19548,-0.61331,,,,
1.173,-2.18830,3.89776,9.70609,-0.63408,0.30788,-0.31643,,,,
1.276,-0.94332,3.80678,10.71645,0.20525,-0.34331,-0.37141,,,,
1.379,-1.03430,3.19865,9.01656,0.37996,-0.34453,-0.17104,,,,
1.482,0.33519,4.30956,9.47625,0.42883,-0.43738,-0.43494,,,,
1.585,0.46448,2.52349,10.89841,-0.48869,-0.46548,-0.75869,,,,
1.687,1.22583,2.91614,8.11634,0.63652,0.07330,-0.43371,,,,
1.791,0.76136,3.58651,8.88728,-0.57910,-0.30910,-1.13621,,,,
1.893,-0.19154,3.79242,8.60476,0.45693,-0.21014,-0.72571,,,,
1.995,-0.34955,4.66869,8.46111,0.29810,-0.04032,-0.71227,,,,
2.097,-0.47405,6.01423,9.72525,0.44715,0.56933,-0.61697,,,,
2.198,-1.75256,2.27928,9.69173,-0.11362,-0.42638,-1.58214,,,,
2.300,0.10056,1.82917,9.11233,0.62186,0.21014,-0.35552,,,,
2.404,-2.45166,1.95367,7.54174,-0.22846,-0.28588,-0.12584,,,,
2.507,-0.46448,4.08451,8.87770,-0.06720,-0.90042,-0.16860,,,,
2.609,-1.19231,3.80678,8.42759,-0.10140,-0.29199,-0.60720,,,,
2.711,-1.09176,3.11246,11.48259,0.03421,-0.55222,-0.77091,,,,
2.812,-1.21147,3.85466,9.70131,0.08308,-0.56810,-0.99205,,,,
2.916,0.83797,3.11725,9.62469,0.22724,0.17471,-0.32620,,,,
3.018,1.70467,3.67271,8.12592,-0.17104,-0.43982,-1.02748,,,,
3.122,-1.58975,4.27126,7.20655,0.30299,-0.63408,-0.70250,,,,
3.225,0.13408,5.04219,11.36288,0.26145,-1.06535,-0.30788,,,,
3.326,-2.08296,4.64475,8.96868,0.29077,0.35064,-0.27611,,,,
3.430,0.49799,4.07972,10.84573,0.32987,-0.25412,-0.16371,,,,
3.533,-1.34075,2.74854,7.53216,0.11729,-0.03054,-0.20159,,,,
3.635,-1.25456,3.11725,6.93361,-0.28588,0.52412,0.39951,,,,
3.738,-0.67038,4.40054,8.45632,-0.04520,-0.08063,0.17593,,,,
3.841,0.30646,4.48195,10.37647,-0.21014,0.05253,0.01588,,,,
3.943,0.04310,5.56412,9.41400,0.45815,0.03299,-0.01100,,,,
4.048,1.43652,2.24097,12.16733,-0.24679,-0.09041,-0.38362,,,,
4.150,1.08218,3.99353,5.34865,0.64019,-0.39095,-0.05864,,,,
4.252,1.68552,4.29999,6.72771,-0.54856,-0.16249,-0.56322,,,,
4.357,0.23942,4.68306,8.77236,-0.53756,-0.71593,-0.69761,,,,
4.460,-0.52194,4.67348,10.97981,0.05253,-0.10507,-0.32498,,,,
4.568,-0.80924,4.17549,10.12268,-0.44593,-0.46792,-0.05864,,,,
4.669,-1.81959,3.11246,7.84819,0.52412,0.39462,0.61453,,,,
4.772,-0.30167,2.12605,10.82179,-0.09041,-0.43005,-0.01100,,,,
4.874,-0.20111,3.38061,7.85777,0.15027,0.45693,0.48625,,,,
4.977,0.05267,3.92649,8.34619,0.17837,0.27367,0.17349,,,,
5.079,0.57461,4.18985,11.01812,0.14294,0.05253,-0.08552,,,,
5.181,2.14999,3.25133,12.17691,-0.93829,-0.37507,-0.68050,,,,
5.285,0.96726,3.07416,6.16268,0.74892,0.40439,-0.11118,,,,
5.389,0.94332,3.46202,8.09240,-0.42516,-0.54978,-0.56444,,,,
5.491,-0.31603,4.26647,7.68539,-0.06597,-0.43127,-0.46426,,,,
5.593,-0.30646,4.59687,9.18416,-0.15027,-0.22113,-0.17349,,,,
5.696,-0.81403,4.75967,9.27035,-0.17959,-0.00367,0.14661,,,,
5.799,-0.85234,2.06859,13.13459,-0.11118,1.04336,0.56444,,,,
5.901,-0.61770,3.15077,10.75475,0.40439,-0.56444,0.36041,,,,
6.003,-0.75178,2.75333,7.41245,0.22358,0.85765,0.35919,,,,
6.106,-0.52672,2.92093,7.28795,0.28588,0.68417,0.31521,,,,
6.208,0.33998,3.98395,10.18015,-0.41417,0.28466,0.19548,,,,
6.310,-0.23463,4.27126,9.13627,-0.04276,-0.19426,0.05986,,,,
6.415,0.84276,2.77727,10.46745,0.08308,0.43371,0.26023,,,,
6.518,0.68474,3.51469,8.02536,0.19426,-0.57055,-0.41294,,,,
6.620,-0.22027,4.04141,8.02058,-0.34819,0.14050,-0.24068,,,,
6.723,-0.73741,4.76925,8.93995,0.13195,-0.07941,0.16005,,,,
6.827,-1.10133,4.86023,10.26155,0.40195,0.25779,0.09407,,,,
6.930,-0.88107,3.94086,10.69729,-0.40806,-0.09896,0.16493,,,,
7.034,-1.84832,3.42850,7.06289,0.88698,0.34941,0.50335,,,,
7.136,-0.39744,3.27048,8.03494,-0.02443,0.22480,0.06353,,,,
7.239,-0.83318,4.05578,7.94396,0.04276,0.15882,0.04887,,,,
7.343,-0.76136,4.94642,8.26478,0.04643,-0.27367,0.06109,,,,
