time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
5.747,0.48123,2.58574,11.25754,-0.58338,0.70494,-0.13317,31.2536928,75.7039689,0.690,268.60
5.858,-0.58897,3.25133,8.90643,-0.24312,-1.25899,-0.94623,31.2536928,75.7039689,0.690,268.60
5.966,0.14605,3.89297,7.71172,-0.46059,-0.51007,0.28833,31.2536928,75.7039689,0.690,268.60
6.077,0.79009,2.69827,9.17698,-0.50457,0.61820,0.38240,31.2536928,75.7039689,0.690,268.60
6.187,-1.04387,2.85868,10.29267,0.38851,0.29566,0.06536,31.2536928,75.7039689,0.690,268.60
6.300,-1.41258,1.76692,9.37330,0.41783,-0.04704,0.67256,31.2536928,75.7039689,0.690,268.60
6.409,-1.84114,2.42772,9.59835,-0.48258,0.49236,0.02260,31.2536928,75.7039689,0.690,268.60
6.520,-0.56743,2.07577,9.37809,0.03665,0.65363,0.48625,31.2536928,75.7039689,0.690,268.60
6.629,-0.84994,2.87783,8.54251,0.06597,0.08552,0.52229,31.2536911,75.7039579,0.730,270.80
6.741,-1.24498,3.43568,9.71328,-0.13622,-0.18692,-0.17287,31.2536911,75.7039579,0.730,270.80
6.849,-0.11492,2.35111,8.23127,1.38178,0.23091,-0.14172,31.2536911,75.7039579,0.730,270.80
6.962,-0.70629,3.98156,10.70448,-0.65240,1.46974,-0.17287,31.2536911,75.7039579,0.730,270.80
7.071,0.16759,3.79960,8.55927,0.18876,-0.39889,-0.14355,31.2536911,75.7039579,0.730,270.80
7.181,-1.00078,2.71742,9.54089,-0.16982,0.17532,0.26084,31.2536911,75.7039579,0.730,270.80
7.290,-0.72544,3.42371,8.67659,-0.26817,-0.19792,0.03848,31.2536911,75.7039579,0.730,270.80
7.405,-2.08296,3.93607,9.13627,0.27550,-0.10751,0.16921,31.2536911,75.7039579,0.730,270.80
7.515,-1.92254,3.47638,8.83700,0.22907,-1.23028,0.20647,31.2536911,75.7039579,0.730,270.80
7.625,-1.70707,3.12683,10.10832,-0.70372,1.22234,0.62125,31.2536896,75.7039488,0.740,267.80
7.735,-0.97444,2.69587,8.44914,-0.04215,-0.10568,0.61331,31.2536896,75.7039488,0.740,267.80
7.845,-1.22823,3.13401,8.87770,0.33598,-0.18509,0.61942,31.2536896,75.7039488,0.740,267.80
7.954,-1.08218,3.22978,9.35175,-0.36530,0.36163,0.09896,31.2536896,75.7039488,0.740,267.80
8.067,-0.67038,3.35428,9.27514,0.42089,0.19731,-0.12217,31.2536896,75.7039488,0.740,267.80
8.177,-0.20830,3.29682,8.63589,0.11668,-0.39218,-0.32070,31.2536896,75.7039488,0.740,267.80
8.289,-0.27533,3.39977,9.69652,-0.16066,-0.17532,-0.66462,31.2536896,75.7039488,0.740,267.80
8.399,0.58897,2.30801,9.46907,0.04704,0.56872,-0.00977,31.2536896,75.7039488,0.740,267.80
8.512,0.00000,3.81875,8.50660,-0.18387,-0.46609,-0.36041,31.2536896,75.7039488,0.740,267.80
8.622,-1.15640,2.73418,11.21444,0.18754,-0.24251,0.09407,31.2536873,75.7039358,0.760,262.00
8.732,-1.67594,3.20344,9.36851,0.51007,-0.40073,-0.04154,31.2536873,75.7039358,0.760,262.00
8.841,-0.66319,4.24731,10.71166,-0.26634,1.27854,0.49175,31.2536873,75.7039358,0.760,262.00
8.953,-1.68312,3.65116,7.69257,-0.04093,-0.63408,0.09652,31.2536873,75.7039358,0.760,262.00
9.063,-2.19788,2.69108,10.10353,0.28772,0.40317,0.52657,31.2536873,75.7039358,0.760,262.00
