time_since_start,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,lat,lon,speed_gt,heading_gt
0.069,0.50278,3.82115,9.98861,-0.30299,-0.86254,0.12339,31.2510617,75.7054269,0.530,258.00
0.177,0.32561,3.45723,9.69173,0.39706,1.26938,0.29444,31.2510617,75.7054269,0.530,258.00
0.280,-0.90022,2.23618,11.02290,0.04765,0.11973,-0.05131,31.2510617,75.7054269,0.530,258.00
0.381,-1.43173,1.60412,9.19852,-0.28344,-0.05253,0.43982,31.2510617,75.7054269,0.530,258.00
0.484,-0.98162,2.31759,7.81946,0.22113,0.56444,0.46914,31.2510617,75.7054269,0.530,258.00
0.587,-0.88585,3.38061,8.56167,0.06720,0.10018,0.30665,31.2510617,75.7054269,0.530,258.00
0.690,-0.25857,3.73974,9.67736,0.08674,-0.37141,0.35919,31.2510617,75.7054269,0.530,258.00
0.792,0.39265,2.94966,10.15141,0.51801,0.04643,0.43982,31.2510617,75.7054269,0.530,258.00
0.896,1.55144,2.11647,11.72680,-0.76358,-1.07634,-0.31154,31.2510617,75.7054269,0.530,258.00
0.999,0.69432,3.04064,7.29274,0.06231,0.44349,0.20159,31.2510395,75.7054178,0.540,255.00
1.102,0.66080,2.87783,8.37971,0.03665,0.27245,-0.17471,31.2510395,75.7054178,0.540,255.00
1.206,-0.07661,4.10366,7.93438,-0.22113,-0.22235,0.06353,31.2510395,75.7054178,0.540,255.00
1.308,0.62728,3.73974,10.77391,0.16371,0.08919,0.31643,31.2510395,75.7054178,0.540,255.00
1.410,-0.20111,3.24654,9.71567,-0.41539,0.49114,0.32620,31.2510395,75.7054178,0.540,255.00
1.512,-1.29287,0.43096,10.49139,0.43371,0.96639,0.59254,31.2510395,75.7054178,0.540,255.00
1.614,-0.52672,2.77727,7.94875,-0.16982,-0.30177,0.39340,31.2510395,75.7054178,0.540,255.00
1.716,-0.55067,1.82917,8.35098,0.17226,0.11484,0.33842,31.2510395,75.7054178,0.540,255.00
1.817,0.04310,2.93050,7.51779,0.00489,-0.26634,0.18082,31.2510395,75.7054178,0.540,255.00
1.918,-0.82839,3.18429,8.22648,0.43738,-0.33720,-0.23824,31.2510404,75.7054228,0.010,256.50
2.021,-2.38462,2.35111,12.59350,-0.99938,0.73182,-1.81793,31.2510404,75.7054228,0.010,256.50
2.122,-2.18830,3.58173,10.49618,1.72386,-1.73730,0.64996,31.2510404,75.7054228,0.010,256.50
2.224,0.93374,3.51469,7.76679,-1.31825,-0.73059,0.03054,31.2510404,75.7054228,0.010,256.50
2.327,-1.20189,2.94487,9.89284,0.28466,-0.30543,-0.46426,31.2510404,75.7054228,0.010,256.50
2.430,-1.85790,3.06458,7.71412,0.40928,0.43738,-0.10873,31.2510404,75.7054228,0.010,256.50
2.535,-0.69911,4.01747,10.98460,-0.18082,-0.34331,0.53878,31.2510404,75.7054228,0.010,256.50
2.637,-0.14844,1.85311,13.12501,-0.78069,-1.11544,0.79901,31.2510404,75.7054228,0.010,256.50
2.739,-0.07183,3.33273,8.26957,0.67073,-0.13806,0.25534,31.2510404,75.7054228,0.010,256.50
2.840,-0.49321,2.58095,8.32224,-0.29077,0.21014,0.09163,31.2510404,75.7054228,0.010,256.50
2.941,-0.03831,3.64876,6.85699,0.27245,-0.49602,0.38362,31.2510259,75.7054199,0.370,256.50
3.043,0.15323,3.37582,9.97903,0.39340,0.47281,-0.20159,31.2510259,75.7054199,0.370,256.50
3.145,-1.81480,3.99353,10.99417,-0.26145,1.51250,0.09041,31.2510259,75.7054199,0.370,256.50
3.249,-0.73741,3.36146,8.90164,0.46181,-1.07146,0.36041,31.2510259,75.7054199,0.370,256.50
3.349,0.07183,2.54264,10.42914,-1.07268,-0.19181,-0.14416,31.2510259,75.7054199,0.370,256.50
3.451,-0.27294,3.17950,7.27837,0.64752,0.46548,-0.29077,31.2510259,75.7054199,0.370,256.50
3.552,-1.32160,4.17070,8.36534,-0.02077,-0.44715,-0.01833,31.2510259,75.7054199,0.370,256.50
3.653,0.33998,3.69665,11.11867,-0.01710,-0.52412,0.23213,31.2510259,75.7054199,0.370,256.50
3.754,-0.79966,3.82115,9.29429,-0.20036,0.31765,0.06964,31.2510259,75.7054199,0.370,256.50
3.856,-2.05422,3.13162,7.13472,0.91874,0.05131,0.29932,31.2510259,75.7054199,0.370,256.50
3.958,-0.23463,2.65278,8.98304,-1.05558,-0.68417,0.56322,,,,
4.059,0.60813,3.97437,7.44597,0.25168,-0.07453,0.18082,,,,
4.160,0.04310,3.22260,10.06522,0.38607,0.00244,-0.34575,,,,
4.262,-0.14365,4.17070,8.83460,0.50091,-0.00977,-0.12339,,,,
4.364,0.64643,3.61524,10.43393,0.17226,-0.27245,-0.04276,,,,
4.466,1.18274,2.52349,8.99741,-0.62553,0.13195,-0.30788,,,,
4.572,0.54109,3.63440,6.51702,0.54000,0.19426,-0.31643,,,,
4.674,-0.33998,3.81157,9.53371,-0.60109,0.09529,0.09529,,,,
4.780,-0.04788,3.96480,9.28471,0.12706,-0.24679,0.44960,,,,
4.883,-1.55623,2.34153,11.17134,0.10873,0.33231,-0.09163,,,,
4.989,-2.89220,2.71981,8.16902,-0.02566,0.33720,0.35797,31.2510152,75.7054050,0.560,256.50
5.090,-0.13408,2.69587,6.79953,-0.32865,-0.76480,0.68906,31.2510152,75.7054050,0.560,256.50
5.192,0.66559,3.17471,9.32302,0.25534,0.01344,0.02077,31.2510152,75.7054050,0.560,256.50
5.296,0.39265,3.77805,11.28627,0.33842,-0.35797,-0.35430,31.2510152,75.7054050,0.560,256.50
